Учетн. номер дороги (новый),Учетн. номер дороги,Наименование автомобильной дороги (новое),Протяженность (км),Начало (км+…),Конец (км+…),Органы управления дорожным хозяйством, в оперативное управление которых переданы автомобильные дороги федерального значения,Телефоны оперативных дежурных служб,
-,-,Казань - Оренбург - Акбулак - граница с Республикой Казахстан,153,112,8+000,161+112,ФКУ Упрдор Самара - Уфа - Челябинск,(347) 228-12-14,
Р-240 Уфа - Оренбург,-,Уфа - Оренбург,299,966,16+900,316+902,ФКУ Упрдор Самара - Уфа - Челябинск,(347) 228-12-14,
-,-,Уфа - Оренбург,27,9,0+000,27+900,ФКУ Упрдор Самара - Уфа - Челябинск,(347) 228-12-14,
Р-241 Казань - Буинск - Ульяновск,1Р 241,Казань - Буинск - Ульяновск,136,969,0+000,136+969,"ФКУ ""Волго-Вятскуправтодор""",(843) 273-54-08; 273-52-11,
-,-,Казань - Буинск - Ульяновск,45,2,167+200,212+000,"ФКУ Упрдор ""Волга""",(8352) 62-43-64,
Р-242 Пермь - Екатеринбург,1Р 242,Пермь - Екатеринбург,352,161,8+550,355+161,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Пермь - Екатеринбург,4,132,14+069,19+818,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
"Р-254 ""Иртыш"" Челябинск - Курган - Омск - Новосибирск",М-51,Челябинск - Курган - Омск - Новосибирск. Подъезд к г.Тюмень,96,434,99+854,194+993,"ФКУ ""Уралуправтодор""",(343) 262-88-15,
-,-,Челябинск - Курган - Омск - Новосибирск,150,125,655+334,805+459,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Челябинск - Курган - Омск - Новосибирск,620,106,821+300,1441+400,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Челябинск - Курган - Омск - Новосибирск,11,349,1442+660,1454+009,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Челябинск - Курган - Омск - Новосибирск,40,9,780+400,821+300,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Челябинск - Курган - Омск - Новосибирск,76,432,0+000,76+100,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Челябинск - Курган - Омск - Новосибирск,452,381,12+950,465+331,"ФКУ Упрдор ""Южный Урал""",(351) 266-65-63,
-,-,Челябинск - Курган - Омск - Новосибирск,91,211,0+000,91+211,"ФКУ Упрдор ""Южный Урал""",(351) 266-65-63,
"Р-255 ""Сибирь"" Новосибирск - Кемерово - Красноярск - Иркутск",М-53,Новосибирск - Кемерово - Красноярск - Иркутск,203,346,41+823,245+173,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,148,234,294+786,443+020,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,97,61,458+110,555+720,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,10,723,6+300,15+474,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,9,991,0+000,9+991,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,90,481,27+681,117+598,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,36,768,0+000,36+768,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,11,624,537+600,549+720,"ФКУ ""Сибуправтодор""",(383) 262-62-72,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,87,557+000,644+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,165,649+000,812+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,203,4,842+000,1047+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,121,463,1056+000,1176+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,9,0+000,10+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,8,20+000,28+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,13,0+000,14+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,,
-,-,- участок старого направления (Вознесенка - Тертеж),40,24,853+000,892+591,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,- участок старого направления (Вознесенка - Тертеж),15,1,0+000,15+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
-,-,- участок старого направления (Вознесенка - Тертеж),6,1154+500,1160+500,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,,
-,-,Новосибирск - Кемерово - Красноярск - Иркутск,690,677,1166+800,1319+1250,"ФКУ Упрдор ""Прибайкалье""",(3952) 29-21-39; 20-87-00,
