Учетн. номер дороги (новый),Учетн. номер дороги,Наименование автомобильной дороги (новое),Протяженность (км),Начало (км+…),Конец (км+…),Органы управления дорожным хозяйством, в оперативное управление которых переданы автомобильные дороги федерального значения,Телефоны оперативных дежурных служб,
-,-,Хабаровск - Владивосток,25,308,639+150,664+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
А-371 Владивосток - остров Русский,-,Владивосток - остров Русский,3,1,0+000,3+100,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
"А-375 ""Восток"" Хабаровск - Красный Яр - Ариадное - Чугуевка - Находка",-,Хабаровска - Красный Яр - Ариадное - Чугуевка - Находка,239,3,5+000,246+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
-,-,Хабаровска - Красный Яр - Ариадное - Чугуевка - Находка,5,670+000,675+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,,
А-381 Под.дорога от г. Нарьян-Мара к аэропорту Нарьян-Мара,-,Подъездная дорога от города Нарьян-Мар к аэропорту,4,0+000,4+000,"ФКУ Упрдор ""Холмогоры""",(8172) 72-36-01,,
А-382 Под.дорога от г. Дудинки к аэропорту Алыкель,-,Подъездная дорога от города Дудинка к аэропорту,53,4,0+000,53+400,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,
А-383 Под.дорога от поселка городского типа Тура к аэропорту Тура (Горный),-,Подъездная дорога от поселка городского типа Тура к аэропорту,17,0+000,17+000,"ФКУ ""Байкалуправтодор""",(391) 265-01-12,,
А-384 Под.дорога от города Анадыря к аэропорту Анадыря (Угольный),-,Подъездная дорога от города Анадыря к аэропорту Анадыря (Угольный),23,5,0+000,30+500,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,
А-391 Южно-Сахалинск - Корсаков,1Р 488,Южно-Сахалинск - Корсаков,31,5+890,36+242,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,,
А-392 Южно-Сахалинск - Холмск,-,Южно-Сахалинск - Холмск,81,5+775,86+873,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,,
А-401 Под.дорога от морского порта Петропавловск-Камчатский к аэропорту П-Камчатский (Елизово),-,Подъездная дорога от морского порта П-Камчатский к аэропорту П-Камчатский (Елизово),38,0+000,38+000,"ФКУ ""Дальуправтодор""",(4212) 74-32-71,,
